ID,course1,course2
5ac46b96ef57b09c77dc50a6da3f39a5,Анализ неструктурированных данных,-
d40cbae8cfc9e6c5d05831ef7e122f3e,Анализ неструктурированных данных,???
0a3bf60d68e9bcb118ba4b472eabebc8,???,-
22eda17f96bbf2d0fb857453e6101160,Анализ неструктурированных данных,-
3eb1a783e55b0dd8bd2fa69eeeeecd4e,Высокопроизводительные вычисления,-
f98ac9a12b43a53c0fa44491cb56890c,Анализ неструктурированных данных,Байесовские методы машинного обучения
eb1d7205d913319ef3d48e0719839849,Байесовские методы машинного обучения,Statistical Learning Theory
67e4ec4fe5c0601815692fbd6d403fb7,Байесовские методы машинного обучения,Глубинное обучение в обработке звука
7af276b31fb741aa81baa85aa5c82bd9,Высокопроизводительные вычисления,-
d9c068e5578253c2b0721558dd0813e1,Анализ неструктурированных данных,-
338374a0f16d72f8c9066ca658c1ee04,Анализ неструктурированных данных,-
dc7f705ae386b0457542a833571d51d0,Высокопроизводительные вычисления,Моделирование временных рядов
de539be8b29b3afa002184e28d63c670,Анализ неструктурированных данных,Глубинное обучение в обработке звука
1d30f1c70a51faa60f497fe959851731,Анализ неструктурированных данных,Глубинное обучение в обработке звука
d9133abde61da78a0b956af5dad1228a,Байесовские методы машинного обучения,Сбор и обработка данных с помощью краудсорсинга
b243a77fa09641c7f0a0b7dfb7a541df,Высокопроизводительные вычисления,-
6a93fcbc79d0df6ddeba3b46739fc3d8,Анализ неструктурированных данных,Глубинное обучение в обработке звука
ba028043babda44219f3346809874ca3,Глубинное обучение в обработке звука,-
01b072a0cdb45814fc4ab8ca3e621f0e,Анализ неструктурированных данных,???
842a87d59de90b711fe3266830fe608c,Высокопроизводительные вычисления,-
1021c681cf4b273ed4905d431e4c17ce,Сбор и обработка данных с помощью краудсорсинга,-
7378a3c0caf8ce5fdbb1e4370b346cb7,Глубинное обучение в обработке звука,-
07b6ce7fd93bde95ce5fe14a5131a960,???,-
d539461bf254cf8b3201cdf7990b119e,Анализ неструктурированных данных,-
085da16dd3062b4790c3dabdc08a51cf,???,-
50f6d5b6a7fd6c8b1b8959f9ce1f808d,Анализ неструктурированных данных,-
31e38f7596f83b72ebba1c6fc6b7a590,Высокопроизводительные вычисления,-
b42de1b3235e9e84b43f38ff282cdfb9,Высокопроизводительные вычисления,-
b65194fec33b2358296f74f6d948efdf,Высокопроизводительные вычисления,-
b739739c7080a6e15f962c3863021855,Анализ неструктурированных данных,-
bb29d9b9230528a4873f91abce2095b8,Безопасность компьютерных систем,-
cef24632489091cb8c085688b7d78dec,Глубинное обучение в обработке звука,Анализ неструктурированных данных
bb9bbd259ab6b8170a7dc6fb35695d13,Безопасность компьютерных систем,-
2c0a8cb6662b9a0a0a5d2d1214442767,Анализ неструктурированных данных,Глубинное обучение в обработке звука
8fe79f84f36e3a5d2d6745621321302c,???,-
f93afd8e92c336b471aa3bbbc579aefe,Высокопроизводительные вычисления,-
9963fc00d9405a35b894cc04a7e19855,Высокопроизводительные вычисления,-
98c5a2548d93f26bd4195466e93178b3,Байесовские методы машинного обучения,Глубинное обучение в обработке звука
ba298cbd9be59b84bab33325e956f27e,Байесовские методы машинного обучения,Сбор и обработка данных с помощью краудсорсинга
c5870b37ee3f672e4259dfb2fc02ed8f,Statistical Learning Theory,-
f44aea1095f9f5b8e2f5f0ed2b17891b,Анализ неструктурированных данных,-
d7118b44c7e8fdbbaaca226d2da6fef1,Statistical Learning Theory,Анализ неструктурированных данных
79d14db48e4737af731960ae212d5134,Принятие решений в условиях риска и неопределённости,Анализ неструктурированных данных
f2d210ace25a841e1e58036b257d5d47,Анализ неструктурированных данных,-
